File Definition, /mnt/hgfs/OpenSatKit/cosmos/config/tools/table_manager/cfe_sb_routes.txt
File Binary, /mnt/hgfs/OpenSatKit/cosmos/cfs_kit/file_server/cfe_sb_route.dat

CFE_SB PIPE INFO
Label, Value
CONTENT TYPE, cFE1, 
SUBTYPE, 21, 
LENGTH, 64, 
SPACECRAFT ID, 42, 
PROCESSOR ID, 1, 
APPLICATION ID, 1, 
TIME SECONDS, 1004403, 
TIME SUBSECONDS, 3294846976, 
DESCRIPTION, SB Routing Information, 
REC0_MSG_ID, 0x0800, 
REC0_PIPE_ID, 16, 
REC0_STATE, ENABLED, 
REC0_MSG_CNT, 851, 
REC0_APP_NAME, HK, 
REC0_PIPE_NAME, HK_CMD_PIPE, 
REC1_MSG_ID, 0x0800, 
REC1_PIPE_ID, 9, 
REC1_STATE, ENABLED, 
REC1_MSG_CNT, 851, 
REC1_APP_NAME, DS, 
REC1_PIPE_NAME, DS_CMD_PIPE, 
REC2_MSG_ID, 0x0800, 
REC2_PIPE_ID, 5, 
REC2_STATE, ENABLED, 
REC2_MSG_CNT, 851, 
REC2_APP_NAME, KIT_TO, 
REC2_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC3_MSG_ID, 0x0801, 
REC3_PIPE_ID, 16, 
REC3_STATE, ENABLED, 
REC3_MSG_CNT, 851, 
REC3_APP_NAME, HK, 
REC3_PIPE_NAME, HK_CMD_PIPE, 
REC4_MSG_ID, 0x0801, 
REC4_PIPE_ID, 9, 
REC4_STATE, ENABLED, 
REC4_MSG_CNT, 851, 
REC4_APP_NAME, DS, 
REC4_PIPE_NAME, DS_CMD_PIPE, 
REC5_MSG_ID, 0x0801, 
REC5_PIPE_ID, 5, 
REC5_STATE, ENABLED, 
REC5_MSG_CNT, 851, 
REC5_APP_NAME, KIT_TO, 
REC5_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC6_MSG_ID, 0x0803, 
REC6_PIPE_ID, 16, 
REC6_STATE, ENABLED, 
REC6_MSG_CNT, 851, 
REC6_APP_NAME, HK, 
REC6_PIPE_NAME, HK_CMD_PIPE, 
REC7_MSG_ID, 0x0803, 
REC7_PIPE_ID, 9, 
REC7_STATE, ENABLED, 
REC7_MSG_CNT, 851, 
REC7_APP_NAME, DS, 
REC7_PIPE_NAME, DS_CMD_PIPE, 
REC8_MSG_ID, 0x0803, 
REC8_PIPE_ID, 5, 
REC8_STATE, ENABLED, 
REC8_MSG_CNT, 851, 
REC8_APP_NAME, KIT_TO, 
REC8_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC9_MSG_ID, 0x0804, 
REC9_PIPE_ID, 16, 
REC9_STATE, ENABLED, 
REC9_MSG_CNT, 851, 
REC9_APP_NAME, HK, 
REC9_PIPE_NAME, HK_CMD_PIPE, 
REC10_MSG_ID, 0x0804, 
REC10_PIPE_ID, 9, 
REC10_STATE, ENABLED, 
REC10_MSG_CNT, 851, 
REC10_APP_NAME, DS, 
REC10_PIPE_NAME, DS_CMD_PIPE, 
REC11_MSG_ID, 0x0804, 
REC11_PIPE_ID, 5, 
REC11_STATE, ENABLED, 
REC11_MSG_CNT, 851, 
REC11_APP_NAME, KIT_TO, 
REC11_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC12_MSG_ID, 0x0805, 
REC12_PIPE_ID, 16, 
REC12_STATE, ENABLED, 
REC12_MSG_CNT, 851, 
REC12_APP_NAME, HK, 
REC12_PIPE_NAME, HK_CMD_PIPE, 
REC13_MSG_ID, 0x0805, 
REC13_PIPE_ID, 9, 
REC13_STATE, ENABLED, 
REC13_MSG_CNT, 851, 
REC13_APP_NAME, DS, 
REC13_PIPE_NAME, DS_CMD_PIPE, 
REC14_MSG_ID, 0x0805, 
REC14_PIPE_ID, 5, 
REC14_STATE, ENABLED, 
REC14_MSG_CNT, 851, 
REC14_APP_NAME, KIT_TO, 
REC14_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC15_MSG_ID, 0x0806, 
REC15_PIPE_ID, 9, 
REC15_STATE, ENABLED, 
REC15_MSG_CNT, 0, 
REC15_APP_NAME, DS, 
REC15_PIPE_NAME, DS_CMD_PIPE, 
REC16_MSG_ID, 0x0806, 
REC16_PIPE_ID, 5, 
REC16_STATE, ENABLED, 
REC16_MSG_CNT, 0, 
REC16_APP_NAME, KIT_TO, 
REC16_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC17_MSG_ID, 0x0808, 
REC17_PIPE_ID, 9, 
REC17_STATE, ENABLED, 
REC17_MSG_CNT, 70, 
REC17_APP_NAME, DS, 
REC17_PIPE_NAME, DS_CMD_PIPE, 
REC18_MSG_ID, 0x0808, 
REC18_PIPE_ID, 5, 
REC18_STATE, ENABLED, 
REC18_MSG_CNT, 43, 
REC18_APP_NAME, KIT_TO, 
REC18_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC19_MSG_ID, 0x080A, 
REC19_PIPE_ID, 9, 
REC19_STATE, ENABLED, 
REC19_MSG_CNT, 1, 
REC19_APP_NAME, DS, 
REC19_PIPE_NAME, DS_CMD_PIPE, 
REC20_MSG_ID, 0x080A, 
REC20_PIPE_ID, 5, 
REC20_STATE, ENABLED, 
REC20_MSG_CNT, 1, 
REC20_APP_NAME, KIT_TO, 
REC20_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC21_MSG_ID, 0x080B, 
REC21_PIPE_ID, 9, 
REC21_STATE, ENABLED, 
REC21_MSG_CNT, 0, 
REC21_APP_NAME, DS, 
REC21_PIPE_NAME, DS_CMD_PIPE, 
REC22_MSG_ID, 0x080B, 
REC22_PIPE_ID, 5, 
REC22_STATE, ENABLED, 
REC22_MSG_CNT, 0, 
REC22_APP_NAME, KIT_TO, 
REC22_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC23_MSG_ID, 0x080C, 
REC23_PIPE_ID, 9, 
REC23_STATE, ENABLED, 
REC23_MSG_CNT, 0, 
